Numero;Descripcion
1;"Imagen del gato con gorro de piloto junto a una representación de Power Platform de Microsoft, con logos de Azure al fondo y efectos mágicos con un nivel de extrañeza igual a 100."
2;"Imagen del gato usando un computador y mostrando en la pantalla modelos LLM y aplicaciones .NET, con el logo de Semantic Kernel en el fondo con un nivel de extrañeza igual a 100."
3;"Imagen del gato con gorro de piloto, actuando como un hacker, pirateando servicios de Azure, representado por una serie de pantallas con códigos y el logo de Azure en el fondo con un nivel de extrañeza igual a 100."
4;"Imagen del gato portando un escudo con el logo de Azure, simbolizando la seguridad en la nube, con gráficos de Confidential Computing en el fondo con un nivel de extrañeza igual a 100."
5;"Imagen del gato mostrando una presentación sobre Azure Stack HCI, rodeado de gráficos y estadísticas con un nivel de extrañeza igual a 100."
6;"Imagen del gato montando el ciclo de vida de Azure Logic App en un entorno privado, con gráficos de procesos y diagramas de flujo con un nivel de extrañeza igual a 100."
7;"Imagen del gato en una discusión ética con otros personajes de IA sobre la generación de contenidos sintéticos, con un nivel de extrañeza igual a 100."
8;"Imagen del gato usando Azure Open AI para dar contexto a un conjunto de datos, con gráficos y representaciones de datos con un nivel de extrañeza igual a 100."
9;"Imagen del gato equilibrando varias regiones de Azure sobre sus patas, con una representación de 'Azure cross-region Load Balancer' en el fondo con un nivel de extrañeza igual a 100."
10;"Imagen del gato maximizando datos con Azure Databricks y Power BI, rodeado de gráficos y visualizaciones de datos con un nivel de extrañeza igual a 100."
11;"Imagen del gato navegando en un barco hecho de contenedores Helm, navegando en un mar de Kubernetes con un nivel de extrañeza igual a 100."
12;"Imagen del gato escalando una montaña de aplicaciones con el logo de Azure y Power Platform en el fondo con un nivel de extrañeza igual a 100."
13;"Imagen del gato explorando un paisaje lleno de contenedores de Azure, con cables de API conectándolos en un entorno de nube con un nivel de extrañeza igual a 100."
14;"Imagen del gato y una IA en forma de holograma, resolviendo amenazas de seguridad en un espacio cibernético con un nivel de extrañeza igual a 100."
15;"Imagen del gato usando un dispositivo de inteligencia artificial generativa, con gráficos y representaciones de IA en el fondo con un nivel de extrañeza igual a 100."
16;"Imagen del gato gestionando varias APIs de Azure, con gráficos y representaciones de Azure API Management en el fondo con un nivel de extrañeza igual a 100."
17;"Imagen del gato destacando la responsabilidad en un proyecto de IA, con gráficos y representaciones de ética en IA con un nivel de extrañeza igual a 100."
18;"Imagen del gato pintando una imagen de un cerebro, con la firma de Azure, representando la creación de imágenes cerebrales artificialmente con un nivel de extrañeza igual a 100."
19;"Imagen del gato ajustando varios controles, simbolizando la adaptabilidad de la nube de Azure, con gráficos y representaciones de los servicios de Azure con un nivel de extrañeza igual a 100."
20;"Imagen del gato usando un dispositivo que representa GPT-4 Turbo for Vision, con gráficos y representaciones de Azure OpenAI en el fondo con un nivel de extrañeza igual a 100."
21;"Imagen del gato protegiendo un fuerte que representa los recursos de Azure, con gráficos y representaciones de seguridad en Azure con un nivel de extrañeza igual a 100."
22;"Imagen del gato trabajando en una estación de trabajo con logos de Ansible, Bicep, y Terraform en el fondo con un nivel de extrañeza igual a 100."
23;"Imagen del gato explorando el cosmos, simbolizando el CosmosDb de Azure, con gráficos y representaciones de bases de datos con un nivel de extrañeza igual a 100."
24;"Imagen del gato documentando desarrollos de Power BI con OpenAI, con gráficos y notas alrededor con un nivel de extrañeza igual a 100."
25;"Imagen del gato chateando en una aplicación de chat profesional de Azure, con gráficos y representaciones de comunicaciones en la nube con un nivel de extrañeza igual a 100."
26;"Imagen del gato explorando un ecosistema de Power BI y arquitecturas de datos en la nube, con gráficos y representaciones de datos con un nivel de extrañeza igual a 100."
27;"Imagen del gato construyendo un edificio que representa arquitecturas complejas y escalables con inteligencias artificiales generativas, con un nivel de extrañeza igual a 100."
28;"Imagen del gato ascendiendo de nivel en un juego que representa las identidades en las empresas, con gráficos y representaciones de ataques, protecciones y escenarios passworless con un nivel de extrañeza igual a 100."
29;"Imagen del gato desarrollando aplicaciones nativas en la nube utilizando .NET 8 y .NET Aspire, con gráficos y representaciones de arquitecturas de aplicaciones en Azure con un nivel de extrañeza igual a 100."
30;"Imagen del gato explorando el futuro de la IA, rodeado de gráficos y códigos futuristas con un nivel de extrañeza igual a 100."
31;"Imagen del gato desplegando Spatial Analytics en un dispositivo IoT, representado por una Raspberry PI con Azure ARC, con un nivel de extrañeza igual a 100."
32;"Imagen del gato explorando el mundo de la computación cuántica, con gráficos y representaciones de Q# con un nivel de extrañeza igual a 100."
33;"Imagen del gato integrando Microsoft Defender for DevOps con plataformas de Azure DevOps y GitHub, con gráficos y representaciones de pipelines de seguridad con un nivel de extrañeza igual a 100."
34;"Imagen del gato buceando bajo un iceberg, simbolizando las herramientas de OpenAI, con gráficos y representaciones de herramientas de IA con un nivel de extrañeza igual a 100."
35;"Imagen del gato programando microcontroladores y microprocesadores con C#, con gráficos y representaciones de hardware y software con un nivel de extrañeza igual a 100."
36;"Imagen del gato desplegando aplicaciones .Net en Kubernetes, con gráficos y representaciones de buenas prácticas en desarrollo de aplicaciones con un nivel de extrañeza igual a 100."
37;"Imagen del gato volando en un avión que representa el Copilot de Microsoft para Azure, con gráficos y representaciones de Azure en el fondo con un nivel de extrañeza igual a 100."
38;"Imagen del gato ejecutando pruebas de carga en Azure Load Testing, con gráficos y representaciones de GitHub Actions con un nivel de extrañeza igual a 100."
39;"Imagen del gato gestionando el CI/CD en Power Platform gobernado desde Azure, con gráficos y representaciones de flujo de trabajo con un nivel de extrañeza igual a 100."
40;"Imagen del gato construyendo un modelo de infraestructura con bloques que representan Pulumi, con gráficos y representaciones de IaC con un nivel de extrañeza igual a 100."
41;"Imagen del gato usando Cosmos de manera eficiente y rentable, con gráficos y representaciones de servicios y costos de Azure con un nivel de extrañeza igual a 100."
